place_id,name,rating,reviews_count,long,lat,category,caption_idn,caption_eng
1,Kebun Teh Kemuning,4.5,1630,-7.5955234,111.1333666,Nature,"Nikmati keindahan alam yang memukau di Kebun Teh Kemuning, tempat yang menawarkan pemandangan hijau yang luas dan udara segar pegunungan. Terletak di lereng Gunung Lawu, kebun teh ini tidak hanya menawarkan panorama indah, tetapi juga memberikan pengalaman menyaksikan proses pengolahan teh tradisional. Saat Anda berjalan-jalan di antara barisan pohon teh, rasakan kedamaian yang mendalam dan hiruplah aroma teh yang menyegarkan. Kebun Teh Kemuning adalah destinasi ideal untuk melarikan diri dari hiruk-pikuk kota dan menikmati ketenangan alam.","Enjoy the stunning natural beauty of Kebun Teh Kemuning, a place that offers vast green scenery and fresh mountain air. Located on the slopes of Mount Lawu, this tea garden not only provides breathtaking panoramas but also offers the experience of witnessing traditional tea processing. As you stroll through the rows of tea plants, feel the deep serenity and inhale the refreshing aroma of tea. Kebun Teh Kemuning is the ideal destination to escape the city's hustle and bustle and enjoy the tranquility of nature."
2,Bukit Soko Gunung,4.5,68,-7.8378746,110.8970116,Nature,"Bukit Soko Gunung adalah surga bagi para pecinta alam dan pendaki. Dengan pemandangan yang menakjubkan dari puncaknya, Anda akan disuguhi panorama kota Solo dan sekitarnya yang memukau. Perjalanan menuju puncak bukit ini penuh dengan keindahan alam yang belum terjamah, melalui jalur-jalur yang menantang namun memuaskan. Bukit ini menjadi tempat yang sempurna untuk menyaksikan matahari terbit atau terbenam, dengan latar belakang langit yang berwarna-warni yang memanjakan mata. Bukit Soko Gunung adalah destinasi yang wajib dikunjungi bagi mereka yang mencari petualangan dan ketenangan di alam.","Bukit Soko Gunung is a paradise for nature lovers and hikers. With breathtaking views from its peak, you will be treated to a stunning panorama of Solo and its surroundings. The journey to the top is filled with untouched natural beauty, through challenging yet rewarding trails. This hill is perfect for watching the sunrise or sunset, with a colorful sky as the backdrop that will delight your eyes. Bukit Soko Gunung is a must-visit destination for those seeking adventure and peace in nature."
3,Oemah Bamboo,4.2,432,-7.5163576,110.4526212,Nature,"Oemah Bamboo menawarkan pengalaman unik dengan arsitektur bambu yang artistik dan ramah lingkungan. Terletak di tengah-tengah alam yang asri, tempat ini memberikan suasana yang tenang dan damai, jauh dari keramaian kota. Oemah Bamboo adalah tempat yang ideal untuk bersantai sambil menikmati keindahan alam sekitar, dengan berbagai kegiatan seperti piknik, berjalan-jalan, atau sekadar duduk menikmati pemandangan. Dikenal dengan struktur bangunan yang mengagumkan, Oemah Bamboo juga mengajarkan pentingnya keberlanjutan dan hubungan harmonis dengan alam.","Oemah Bamboo offers a unique experience with artistic and eco-friendly bamboo architecture. Situated amidst lush greenery, this place provides a calm and serene atmosphere, far from the city's noise. Oemah Bamboo is the ideal spot to relax while enjoying the surrounding natural beauty, with various activities such as picnicking, walking, or simply sitting and taking in the view. Known for its impressive structures, Oemah Bamboo also teaches the importance of sustainability and harmonious living with nature."
4,Taman Hutan Raya KGPAA Mangkunagoro I,4.5,732,-7.6232274,111.1365804,Nature,"Taman Hutan Raya KGPAA Mangkunagoro I adalah oase hijau di tengah hiruk-pikuk kota Solo. Taman hutan ini tidak hanya menawarkan keindahan alam, tetapi juga menjadi tempat konservasi berbagai flora dan fauna. Dinamakan untuk menghormati KGPAA Mangkunagoro I, taman ini memiliki jalur-jalur yang teduh di bawah naungan pohon-pohon besar yang memberikan udara segar dan ketenangan. Dengan berbagai fasilitas rekreasi dan edukasi, taman ini menjadi destinasi favorit bagi keluarga, pelajar, dan siapa saja yang ingin menikmati keindahan dan ketenangan alam.","Taman Hutan Raya KGPAA Mangkunagoro I is a green oasis in the midst of Solo's bustling city. This forest park not only offers natural beauty but also serves as a conservation area for various flora and fauna. Named in honor of KGPAA Mangkunagoro I, the park features shady trails under the canopy of large trees, providing fresh air and tranquility. With various recreational and educational facilities, the park is a favorite destination for families, students, and anyone looking to enjoy the beauty and peace of nature."
5,Air Terjun Jumog,4.6,783,-7.6311048,111.1245327,Nature,"Air Terjun Jumog, sering disebut sebagai ""Surga yang Tersembunyi"", menawarkan keindahan alam yang memukau dengan aliran air yang jernih dan segar. Terletak di tengah hutan yang rimbun, air terjun ini memberikan suasana yang sejuk dan menyegarkan. Anda bisa menikmati suara gemericik air yang menenangkan sambil merasakan kesegaran alami di sekitar air terjun. Selain keindahan alamnya, Air Terjun Jumog juga memiliki legenda lokal yang menambah daya tariknya sebagai destinasi wisata yang kaya akan budaya dan sejarah.","Air Terjun Jumog, often referred to as the ""Hidden Paradise,"" offers stunning natural beauty with its clear and fresh water flow. Nestled in a lush forest, this waterfall provides a cool and refreshing atmosphere. You can enjoy the soothing sound of cascading water while experiencing the natural freshness around the waterfall. Besides its natural beauty, Air Terjun Jumog also has local legends that add to its allure as a destination rich in culture and history."
6,Puro Mangkunegaran,4.7,7520,-7.5671112,110.8227592,"Art, Culture, History, Education","Puro Mangkunegaran adalah istana megah yang menyimpan sejarah panjang Kesultanan Mangkunegaran di Solo. Didirikan pada abad ke-18 oleh Raden Mas Said, yang kemudian dikenal sebagai Mangkunegara I, istana ini menjadi pusat kebudayaan dan seni Jawa. Arsitektur bangunan ini mencerminkan keindahan dan kekayaan budaya Jawa, dengan berbagai ornamen dan ukiran yang menghiasi setiap sudutnya. Puro Mangkunegaran juga berfungsi sebagai museum yang menyimpan berbagai koleksi seni, kerajinan, dan artefak sejarah yang berharga. Mengunjungi tempat ini akan membawa Anda kembali ke masa lalu dan memberikan pemahaman mendalam tentang sejarah dan budaya Solo.","Puro Mangkunegaran is a magnificent palace that holds the long history of the Mangkunegaran Sultanate in Solo. Founded in the 18th century by Raden Mas Said, who later became Mangkunegara I, this palace is a center of Javanese culture and arts. The architecture of this building reflects the beauty and richness of Javanese culture, with various ornaments and carvings adorning every corner. Puro Mangkunegaran also serves as a museum that houses a valuable collection of arts, crafts, and historical artifacts. Visiting this place will take you back in time and provide a deep understanding of Solo's history and culture."
7,Keraton Surakarta Hadiningrat,4.6,14917,-7.577773,110.8278931,"Art, Culture, History, Education","Keraton Surakarta Hadiningrat adalah simbol kejayaan dan kekayaan budaya Jawa. Didirikan pada tahun 1745 oleh Susuhunan Pakubuwono II, keraton ini menjadi pusat pemerintahan dan kebudayaan Kasunanan Surakarta. Dengan arsitektur yang megah dan penuh dengan detail artistik, keraton ini menyimpan berbagai cerita dan legenda dari masa lalu. Di dalam kompleks keraton, Anda dapat menemukan museum yang menampilkan berbagai artefak sejarah, pakaian kerajaan, dan senjata tradisional. Keraton Surakarta Hadiningrat adalah destinasi wajib bagi siapa saja yang ingin mendalami sejarah dan kebudayaan Solo yang kaya.","Keraton Surakarta Hadiningrat is a symbol of the grandeur and cultural richness of Java. Established in 1745 by Susuhunan Pakubuwono II, this palace became the center of governance and culture of the Surakarta Sunanate. With its majestic architecture and intricate artistic details, the palace holds various stories and legends from the past. Inside the palace complex, you can find a museum showcasing historical artifacts, royal garments, and traditional weapons. Keraton Surakarta Hadiningrat is a must-visit destination for anyone interested in delving into the rich history and culture of Solo."
8,Kampung Gamelan Wirun,5,1,-7.5973151,110.8360089,"Art, Culture, Education, Shop","Kampung Gamelan Wirun adalah pusat kerajinan gamelan yang terkenal di Solo. Di kampung ini, Anda dapat menyaksikan langsung proses pembuatan gamelan, dari pencetakan logam hingga penyetelan suara. Selain itu, Anda juga dapat belajar memainkan alat musik tradisional ini langsung dari para ahli. Kampung ini menawarkan pengalaman edukatif dan budaya yang mendalam, dengan berbagai workshop dan pertunjukan gamelan yang bisa dinikmati. Kampung Gamelan Wirun juga memiliki berbagai toko yang menjual gamelan dan kerajinan tangan lainnya, menjadikannya tempat yang sempurna untuk mencari oleh-oleh khas Solo.","Kampung Gamelan Wirun is a renowned center for gamelan craftsmanship in Solo. In this village, you can witness the gamelan-making process firsthand, from metal casting to tuning the instruments. Additionally, you can learn to play these traditional musical instruments directly from the experts. This village offers a deep educational and cultural experience, with various workshops and gamelan performances to enjoy. Kampung Gamelan Wirun also has numerous shops selling gamelan and other handicrafts, making it the perfect place to find unique souvenirs from Solo."
9,Kampung Batik Laweyan,4.6,174,-7.5700737,110.7977996,"Art, Culture, Education, Shop","Kampung Batik Laweyan adalah destinasi yang sempurna untuk mengenal dan belajar tentang seni batik Solo. Kampung ini memiliki sejarah panjang sebagai pusat industri batik sejak abad ke-19. Di sini, Anda dapat melihat berbagai motif batik klasik dan modern, serta mengikuti workshop untuk mencoba membuat batik sendiri. Selain itu, kampung ini juga memiliki banyak toko yang menjual batik berkualitas tinggi, dari kain hingga pakaian jadi. Kampung Batik Laweyan menawarkan kombinasi unik antara edukasi, budaya, dan belanja, menjadikannya tempat yang menarik untuk dikunjungi.","Kampung Batik Laweyan is the perfect destination to learn about and explore the art of Solo batik. This village has a long history as a center of the batik industry since the 19th century. Here, you can see various classic and modern batik motifs and participate in workshops to try making batik yourself. Additionally, the village has many shops selling high-quality batik, from fabrics to ready-made clothing. Kampung Batik Laweyan offers a unique combination of education, culture, and shopping, making it an interesting place to visit."
10,Kampung Batik Kauman,4.6,1484,-7.5734171,110.8263068,"Art, Culture, Education, Shop","Kampung Batik Kauman adalah tempat yang kaya akan sejarah dan budaya batik Solo. Terletak di dekat Keraton Surakarta, kampung ini telah menjadi pusat produksi batik sejak zaman kerajaan. Di sini, Anda dapat belajar tentang proses pembuatan batik tulis dan cap, serta melihat langsung para pengrajin batik bekerja. Kampung Batik Kauman juga menawarkan berbagai workshop dan tur edukatif yang memperkenalkan sejarah dan teknik batik kepada pengunjung. Dengan berbagai toko yang menjual batik berkualitas tinggi, kampung ini adalah destinasi ideal untuk para pecinta batik dan budaya Jawa.","Kampung Batik Kauman is a place rich in the history and culture of Solo batik. Located near Keraton Surakarta, this village has been a center of batik production since the royal era. Here, you can learn about the process of making traditional hand-drawn and stamped batik and watch the batik artisans at work. Kampung Batik Kauman also offers various educational workshops and tours that introduce the history and techniques of batik to visitors. With numerous shops selling high-quality batik, this village is an ideal destination for batik and Javanese culture enthusiasts.





"
